Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-10 23:00:00,25.54,29.77,-0.5732298036442283,-0.21281491078598047
2015-01-11 00:00:00,24.97,31.33,-0.6166059859161108,-0.09707027812864093
2015-01-11 01:00:00,24.22,29.73,-0.6736799099580614,-0.21578272187975833
2015-01-11 02:00:00,24.03,29.34,-0.688138637382022,-0.24471888004409328
2015-01-11 03:00:00,23.44,29.22,-0.7330367909616897,-0.2536223133254272
2015-01-11 04:00:00,23.56,29.64,-0.7239049631149779,-0.2224602968407587
2015-01-11 05:00:00,23.91,30.01,-0.6972704652287341,-0.19500804422331267
2015-01-11 06:00:00,23.9,29.07,-0.698031450882627,-0.2647516049270943
2015-01-11 07:00:00,24.71,29.58,-0.6363916129173202,-0.22691201348142576
2015-01-11 08:00:00,25.18,29.84,-0.6006252871843646,-0.20762124137186905
2015-01-11 09:00:00,25.95,32.34,-0.5420293918346286,-0.022133048010747582
2015-01-11 10:00:00,27.11,32.5,-0.45375505598307847,-0.010261803635636077
2015-01-11 11:00:00,27.84,32.07,-0.3982031032489132,-0.042165772893748905
2015-01-11 12:00:00,27.65,32.86,-0.4126618306728741,0.016448496208365332
2015-01-11 13:00:00,27.68,32.73,-0.410378873711196,0.006803110153586841
2015-01-11 14:00:00,27.65,33.07,-0.4126618306728741,0.032029504450699575
2015-01-11 15:00:00,27.8,33.28,-0.40124704586448384,0.04761051269303382
2015-01-11 16:00:00,28.6,34.21,-0.34036819355306985,0.11661212062337088
2015-01-11 17:00:00,28.97,34.36,-0.3122117243590411,0.12774141222503804
2015-01-11 18:00:00,29.1,31.75,-0.30231891085843615,-0.06590826164397244
2015-01-11 19:00:00,28.9,30.71,-0.31753862393628984,-0.1430713500821988
2015-01-11 20:00:00,28.57,30.62,-0.3426511505147479,-0.14974892504319914
2015-01-11 21:00:00,28.16,31.05,-0.37385156232434763,-0.11784495578508632
2015-01-11 22:00:00,27.98,29.26,-0.38754930409441574,-0.25065450223164903
2015-01-11 23:00:00,27.64,28.9,-0.41342281632676664,-0.27736480207565073
2015-01-12 00:00:00,28.47,29.99,-0.3502610070536748,-0.19649194977020187
2015-01-12 01:00:00,28.1,29.09,-0.37841747624770355,-0.2632676993802054
2015-01-12 02:00:00,27.95,29.34,-0.3898322610560938,-0.24471888004409328
2015-01-12 03:00:00,28.07,28.7,-0.3807004332093817,-0.29220385754454037
2015-01-12 04:00:00,28.48,29.98,-0.34950002139978203,-0.19723390254364623
2015-01-12 05:00:00,27.83,30.6,-0.398964088902806,-0.15123283059008807
2015-01-12 06:00:00,29.53,28.98,-0.26959652774105114,-0.2714291798880947
2015-01-12 07:00:00,34.59,34.88,0.11546221312864215,0.1663229564441515
